R,Name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Apps,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,R,,Name,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,R,,Name,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
Sander Duits,Go Ahead Eagles,20(3),1544,0,2,7,0,0.4,71.8,1,0,6.64,20(3),2.3,1.4,1.7,0,1.8,1.4,0.3,0,6.64,195,,"Elvis ManuFeyenoord, 22, AM(L)",15(11),1428,7,4,2.1,1.2,1.8,1.7,0.7,1.6,2.1,6.96,107,,"Elvis ManuFeyenoord, 22, AM(L)",15(11),1428,4,1.2,12.7,74.8,0.7,0.3,-,6.96
Sander Fischer,Excelsior,34,3056,1,1,4,0,0.3,79.1,2.4,2,7.08,34,1.8,2.4,1,0.9,9.6,0.5,0.6,1,7.08,79,,"Danny HoesenGroningen, 24, FW",16(5),1421,2,1,1.7,0.6,0.2,1,0.6,1,1.6,6.3,250,,"Danny HoesenGroningen, 24, FW",16(5),1421,1,0.6,17,70.1,0.1,0.6,-,6.3
Sander van de Streek,Cambuur,25(4),2218,7,2,2,0,1.9,74.6,1.6,2,6.78,25(4),1.6,0.5,0.6,0,0.8,0.4,0.1,0,6.78,159,,"Everon PisasFC Dordrecht, 20, AM(L)",16(9),1386,2,1,0.6,0.6,0.8,1,-,0.8,1,6.41,244,,"Everon PisasFC Dordrecht, 20, AM(L)",16(9),1386,1,0.6,12.2,74.1,0.6,0.4,-,6.41
Santiago Arias,PSV Eindhoven,19(2),1726,1,1,3,0,0.5,83.9,1.4,1,7.31,19(2),2.4,2.1,1.3,0,1.8,0.7,0.3,0,7.31,22,,"Guus HuppertsAZ Alkmaar, 23, AM(LR)",13(15),1382,2,1,1.3,1,0.6,0.2,0.2,0.7,1.4,6.57,215,,"Guus HuppertsAZ Alkmaar, 23, AM(LR)",13(15),1382,1,1,13.1,68.9,0.7,0.4,-,6.57
Sébastien Haller,Utrecht,14(3),1299,11,5,1,0,2.9,66.3,4.6,3,7.42,14(3),0.9,0.4,1.4,0,0.5,0.4,0.1,0,7.42,16,,"Wout BramaPEC Zwolle, 29, DM(C)",15(5),1355,-,1,0.5,0.4,0.1,1.1,-,0.5,0.5,6.59,203,,"Wout BramaPEC Zwolle, 29, DM(C)",15(5),1355,1,0.4,32.8,81.3,-,2.3,0.1,6.59
Sergio Padt,Groningen,32,2880,0,1,2,0,0,52.5,0.3,1,6.99,32,0.1,0,0,0,1.1,0.1,0,1,6.99,96,,"Dabney dos SantosAZ Alkmaar, 19, AM(CL)",17(6),1349,2,7,0.9,1,0.6,0.7,0.2,0.4,1.5,6.75,168,,"Dabney dos SantosAZ Alkmaar, 19, AM(CL)",17(6),1349,7,1,13.9,68,0.5,0.3,-,6.75
Simon Cziommer,Heracles,14(12),1266,0,1,2,0,1.2,80.5,0.4,0,6.54,14(12),1.3,1.1,1.6,0,0.9,0.9,0.1,0,6.54,226,,"Giovanni KorteFC Dordrecht, 22, AM(LR)",16(1),1327,3,-,1.6,0.9,1.1,1.2,0.5,2,2.8,6.66,190,,"Giovanni KorteFC Dordrecht, 22, AM(LR)",16(1),1327,-,0.9,16.9,69.3,0.7,0.6,-,6.66
Simon Poulsen,AZ Alkmaar,32,2749,3,3,1,0,0.3,72.6,1.8,2,7.24,32,2.4,2.1,0.8,0.2,3.6,1,0.4,0,7.24,32,,"Joost BroersePEC Zwolle, 36, D(C)",14(6),1315,1,-,0.5,0.4,-,0.5,-,0.2,0.2,6.56,219,,"Joost BroersePEC Zwolle, 36, D(C)",14(6),1315,-,0.4,38.3,82.9,-,3,-,6.56
Simon Tibbling,Groningen,17,1442,1,0,1,0,0.4,86.9,0.1,0,6.83,17,1.7,1.5,0.5,0,1.1,0.9,0.4,0,6.83,146,,"Sébastien HallerUtrecht, 21, FW",14(3),1299,11,5,2.9,1,0.8,0.7,0.4,2.1,2.5,7.42,16,,"Sébastien HallerUtrecht, 21, FW",14(3),1299,5,1,24.6,66.3,0.2,0.2,0.1,7.42
Sjoerd Overgoor,Go Ahead Eagles,31,2738,1,0,2,0,0.7,80.6,0.5,1,6.78,31,2.2,2.2,0.7,0,1.5,1.4,0.4,0,6.78,156,,"Rick ten VoordeFC Dordrecht, 24, FW",11(14),1298,1,1,0.6,0.4,0.1,0.4,0.2,1.1,1.4,6.12,254,,"Rick ten VoordeFC Dordrecht, 24, FW",11(14),1298,1,0.4,19.3,68.5,0.1,0.5,-,6.12
Stef Nijland,PEC Zwolle,15(15),1502,11,3,1,1,1.6,76.3,0.5,2,6.59,15(15),0.1,0.1,0.4,0,0.1,0.3,0,0,6.59,202,,"Jules ReimerinkGo Ahead Eagles, 25, AM(R)",11(17),1294,2,1,0.9,0.4,0.5,1.5,0.1,1.6,1.3,6.34,248,,"Jules ReimerinkGo Ahead Eagles, 25, AM(R)",11(17),1294,1,0.4,13.2,70.5,0.2,0.5,-,6.34
Stefano Marzo,Heerenveen,31,2720,0,2,5,1,0.1,79.3,0.7,1,7.02,31,3.4,2.6,1.1,0.2,3.7,1.2,0.4,0,7.02,87,,"Mimoun MahiGroningen, 21, AM(R)",13(13),1292,1,2,1.5,0.7,1,1.1,0.5,1.7,1.2,6.57,214,,"Mimoun MahiGroningen, 21, AM(R)",13(13),1292,2,0.7,14.9,71.9,0.3,0.4,-,6.57
Steven Berghuis,AZ Alkmaar,19(3),1690,11,4,3,0,2.7,72.6,0.6,1,7.47,19(3),1.1,0.6,0.6,0,0.3,0.8,0,1,7.47,13,,"Bart SchenkeveldHeracles, 24, D(C)",15(3),1289,-,-,-,-,0.2,0.8,-,0.2,0.2,6.52,228,,"Bart SchenkeveldHeracles, 24, D(C)",15(3),1289,-,-,26.7,84.4,-,2.1,-,6.52
Stijn Wuytens,Willem II,34,3014,2,2,3,0,1,81.8,2,1,7.23,34,2.7,2.4,1.6,0.1,2.4,0.7,0.3,0,7.23,35,,"Arkadiusz MilikAjax, 21, FW",14(7),1266,11,4,1.9,1,0.4,1,0.7,1,1.9,7.14,61,,"Arkadiusz MilikAjax, 21, FW",14(7),1266,4,1,18,74.9,-,0.4,0.1,7.14
Sven Nieuwpoort,Go Ahead Eagles,26(1),2410,1,0,3,0,0.4,78.1,1,0,6.54,26(1),1.7,1.6,1.1,0,2.4,0.4,0.5,0,6.54,224,,"Kelvin LeerdamVitesse, 25, D(R),DM(C)",14(6),1266,2,1,1.7,0.9,0.5,0.5,0.2,1,1.2,6.58,206,,"Kelvin LeerdamVitesse, 25, D(R),DM(C)",14(6),1266,1,0.9,19.1,75.7,0.2,1,-,6.58
Sven van Beek,Feyenoord,31,2746,1,1,6,0,0.5,87.9,3.4,3,7.27,31,2.1,1.9,0.9,1,8,0.4,0.3,2,7.27,24,,"Simon CziommerHeracles, 34, M(C)",14(12),1266,-,1,1.2,0.8,0.5,0.5,-,0.3,0.8,6.54,226,,"Simon CziommerHeracles, 34, M(C)",14(12),1266,1,0.8,29.9,80.5,0.5,2.8,-,6.54
Terell Ondaan,Willem II,20(13),1799,2,5,4,0,1.6,65.8,2,1,6.73,20(13),0.9,1,1.3,0,0.3,0.5,0.1,0,6.73,175,,"Rasmus BengtssonTwente, 29, D(C)",15(2),1264,1,-,0.4,0.1,0.1,0.4,-,-,0.1,6.75,171,,"Rasmus BengtssonTwente, 29, D(C)",15(2),1264,-,0.1,45.6,90.7,-,3.3,-,6.75
Terence Kongolo,Feyenoord,30(1),2684,0,1,4,0,0.7,87.2,2.6,1,7.25,30(1),2,2.3,0.9,0.9,6.7,0.4,0.5,0,7.25,28,,"Denni AvdicHeracles, 26, AM(C),FW",13(9),1252,4,1,1.3,0.5,0.7,1.1,0.3,1.6,1.4,6.58,207,,"Denni AvdicHeracles, 26, AM(C),FW",13(9),1252,1,0.5,19.3,70.1,0.1,0.9,-,6.58
Thom Haye,AZ Alkmaar,22(6),1813,0,3,3,0,1,73.3,1,0,6.79,22(6),1.7,1.2,0.8,0.1,0.6,0.9,0,0,6.79,152,,"Rick KarsdorpFeyenoord, 20, D(R)",14(5),1246,-,2,0.2,0.8,0.3,0.3,-,0.4,0.4,6.61,200,,"Rick KarsdorpFeyenoord, 20, D(R)",14(5),1246,2,0.8,33.3,77.6,1,3.8,-,6.61
Thomas Bruns,Heracles,29(3),2330,7,3,7,0,1.4,68.2,0.7,1,6.81,29(3),1.7,0.9,1.2,0,0.7,1.4,0.1,0,6.81,149,,"Calvin Mac-IntoschCambuur, 26, D(C)",13(7),1242,-,2,0.2,0.1,0.6,1.2,-,0.2,0.2,6.8,150,,"Calvin Mac-IntoschCambuur, 26, D(C)",13(7),1242,2,0.1,38.5,88,-,4.1,0.1,6.8
Thomas Kristensen,ADO Den Haag,28(2),2272,1,1,3,0,0.4,82.3,1.7,2,6.99,28(2),2.1,1.9,0.7,0.2,2.7,1.4,0.2,0,6.99,98,,"Joshua BrenetPSV Eindhoven, 21, D(R)",13(5),1238,1,-,0.3,0.4,1.2,0.3,-,1.1,0.4,7.17,52,,"Joshua BrenetPSV Eindhoven, 21, D(R)",13(5),1238,-,0.4,33.1,83.5,0.2,1.6,-,7.17
Thomas Lam,PEC Zwolle,22(6),1958,2,2,7,1,0.5,82.1,1.2,0,6.69,22(6),1.5,1.5,1.7,0.1,2.7,0.8,0.3,0,6.69,186,,"Daniel de RidderCambuur, 31, AM(L)",15(6),1229,2,2,1.5,1.5,1.2,1,0.1,1,0.9,6.73,173,,"Daniel de RidderCambuur, 31, AM(L)",15(6),1229,2,1.5,24.9,82.8,1,1.5,-,6.73
Thulani Serero,Ajax,21(8),2000,1,0,2,0,0.5,89,0.4,1,6.98,21(8),2.5,2.2,0.5,0,0.8,0.7,0.2,0,6.98,100,,"Riechedly BazoerAjax, 18, M(C)",14(3),1215,1,-,1.5,0.5,1,1.5,0.1,1.4,1,7.02,86,,"Riechedly BazoerAjax, 18, M(C)",14(3),1215,-,0.5,40.3,86.9,0.4,2.1,0.1,7.02
Timo Letschert,Utrecht,19(4),1843,0,1,2,0,0.9,85.4,2,1,7.06,19(4),2.4,2.6,1,0.3,3,0.6,0.4,0,7.06,82,,"Kolbeinn SigthorssonAjax, 25, FW",13(8),1195,7,2,1.7,0.4,0.3,0.6,0.2,1.2,1.6,6.86,133,,"Kolbeinn SigthorssonAjax, 25, FW",13(8),1195,2,0.4,17.4,68,0.1,0.1,-,6.86
Timothy Derijck,ADO Den Haag,17(5),1632,0,0,3,0,0.2,82.2,1.3,0,6.54,17(5),0.7,2,0.9,0.6,4.4,0.3,0.2,3,6.54,225,,"WallaceVitesse, 21, D(R)",13(5),1178,1,1,0.6,1.2,1.2,1.4,0.1,0.7,0.9,6.77,166,,"WallaceVitesse, 21, D(R)",13(5),1178,1,1.2,40.9,86.8,0.3,3.3,-,6.77
Tjaronn Chery,Groningen,34,3019,15,6,0,0,3.9,81.8,0.2,3,7.22,34,0.7,0.6,0.8,0,0.6,0.7,0.1,0,7.22,40,,"Trent SainsburyPEC Zwolle, 23, D(C)",14(3),1134,-,1,0.2,0.2,0.4,0.6,0.1,0.2,0.4,6.85,142,,"Trent SainsburyPEC Zwolle, 23, D(C)",14(3),1134,1,0.2,39.9,82.8,-,4.4,-,6.85
Tom van Weert,Excelsior,32,2643,13,2,3,0,2.7,68.1,2.8,1,6.97,32,0.6,0.2,1.4,0,0.6,0.6,0,0,6.97,105,,"Kristoffer PetersonUtrecht, 20, AM(LR)",14(6),1131,2,2,1.7,0.8,1.4,0.6,0.1,1.9,1.3,6.53,227,,"Kristoffer PetersonUtrecht, 20, AM(LR)",14(6),1131,2,0.8,15.5,79.9,0.2,0.5,-,6.53
Tomas Necid,PEC Zwolle,19(5),1728,11,3,4,1,2.8,73.1,1.9,2,6.93,19(5),0.5,0.3,1.3,0,0.9,0.3,0.1,0,6.93,116,,"Jorrit HendrixPSV Eindhoven, 20, D(C),DM(C)",12(8),1120,1,-,0.4,0.5,0.7,0.5,-,0.5,0.4,6.83,147,,"Jorrit HendrixPSV Eindhoven, 20, D(C),DM(C)",12(8),1120,-,0.5,26.7,79.8,0.1,2.4,0.1,6.83
Tommy Oar,Utrecht,17(1),1480,0,7,2,0,1.1,75.3,0.1,1,7.11,17(1),0.7,0.5,0.9,0,0.4,0.5,0.1,0,7.11,66,,"Renato TapiaTwente, 20, M(C)",12(5),1119,5,-,1.5,0.4,1.2,1.2,-,1.8,1.5,6.94,113,,"Renato TapiaTwente, 20, M(C)",12(5),1119,-,0.4,25.7,70.5,0.1,2.4,0.1,6.94
Tonny Vilhena,Feyenoord,10(11),1067,0,0,1,0,1.5,80,1,0,6.55,10(11),1.1,0.7,1,0,0.6,0.5,0,0,6.55,223,,"Renato IbarraVitesse, 24, AM(R)",11(12),1115,2,2,1.5,1.3,1.1,1.1,0.4,0.3,1.7,6.77,164,,"Renato IbarraVitesse, 24, AM(R)",11(12),1115,2,1.3,22.7,83.1,0.3,0.5,-,6.77
Torgeir Borven,Twente,4(18),565,1,0,0,0,0.7,69.5,1,0,6.24,4(18),0.2,0,0.3,0,0.2,0,0,0,6.24,251,,"Danny BakkerADO Den Haag, 20, D(C),DM(C)",12(8),1110,1,1,0.6,0.3,0.4,1.1,0.1,0.6,0.9,6.56,217,,"Danny BakkerADO Den Haag, 20, D(C),DM(C)",12(8),1110,1,0.3,19.9,77.1,0.1,1.7,0.1,6.56
Trent Sainsbury,PEC Zwolle,14(3),1134,0,1,0,1,0.2,82.8,2.1,1,6.85,14(3),1.6,2,1.2,0.6,3.9,0.4,0.6,0,6.85,142,,"Tonny VilhenaFeyenoord, 20, AM(C)",10(11),1067,-,-,1.5,0.8,0.3,0.9,-,1.5,1.2,6.55,223,,"Tonny VilhenaFeyenoord, 20, AM(C)",10(11),1067,-,0.8,26.9,80,0.6,1.5,0.1,6.55
Uros Djurdjevic,Vitesse,1(16),303,1,0,1,0,1.2,69.7,0.1,0,6.23,1(16),0.1,0,0.6,0,0.1,0.1,0,0,6.23,252,,"Nick van der VeldenGroningen, 33, AM(R),FW",11(12),1049,1,1,0.8,0.7,0.2,1,0.5,1,0.8,6.35,247,,"Nick van der VeldenGroningen, 33, AM(R),FW",11(12),1049,1,0.7,16.1,70.8,0.7,0.4,0.1,6.35
Uros Matic,NAC Breda,23(5),2027,1,2,2,0,0.9,77.1,0.3,0,6.72,23(5),2,1.5,0.7,0,1.1,1.4,0.3,0,6.72,176,,"Ninos GouriyeExcelsior, 24, AM(LR)",10(13),1040,2,3,1.6,0.7,1.1,0.9,0.1,1.7,2.1,6.57,210,,"Ninos GouriyeExcelsior, 24, AM(LR)",10(13),1040,3,0.7,10.7,69.8,0.2,0.7,-,6.57
Valeri Qazaishvili,Vitesse,27(6),2365,9,3,0,0,2,87.1,0.3,2,6.92,27(6),1.2,0.5,0.6,0,0.2,0.5,0,0,6.92,119,,"Alex SchalkGo Ahead Eagles, 23, AM(L),FW",12(8),1028,4,-,1.6,0.4,0.4,0.9,-,1.2,1.3,6.44,238,,"Alex SchalkGo Ahead Eagles, 23, AM(L),FW",12(8),1028,-,0.4,12.8,73.3,0.1,0.3,-,6.44
Viktor Elm,AZ Alkmaar,6(14),728,0,1,2,0,0.3,74.4,1.7,0,6.41,6(14),0.6,0.7,0.6,0.1,1.7,0.3,0.1,0,6.41,243,,"Robert BraberWillem II, 32, AM(C)",11(17),1027,3,2,0.5,0.2,-,0.8,0.1,0.3,0.5,6.46,235,,"Robert BraberWillem II, 32, AM(C)",11(17),1027,2,0.2,11.3,69,-,0.2,-,6.46
Vito Wormgoor,ADO Den Haag,26,2227,0,1,5,1,0.7,81.7,1.6,0,6.59,26,0.7,2,1.5,1.1,5.1,0.3,0.6,0,6.59,204,,"Joey PelupessyHeracles, 22, DM(C)",10(7),986,1,-,0.4,0.6,0.1,0.6,-,0.4,0.2,6.51,230,,"Joey PelupessyHeracles, 22, DM(C)",10(7),986,-,0.6,21.8,81.4,0.1,1.2,-,6.51
Vytautas Andriuskevicius,Cambuur,26(1),2236,0,0,6,0,0.2,79.5,2,1,6.93,26(1),1.7,1.8,1.3,0.2,5.9,0.8,0.4,0,6.93,115,,"Fernando LewisGo Ahead Eagles, 22, AM(L)",11(6),983,2,1,0.9,0.6,0.1,0.8,0.1,0.9,1.4,6.64,194,,"Fernando LewisGo Ahead Eagles, 22, AM(L)",11(6),983,1,0.6,17.5,72.1,0.1,0.6,-,6.64
Wallace,Vitesse,13(5),1178,1,1,7,0,0.6,86.8,0.1,0,6.77,13(5),1.5,1.3,1.1,0.2,1.3,0.9,0.3,0,6.77,166,,"Robert MührenAZ Alkmaar, 26, FW",12(5),960,4,2,2.1,0.7,0.1,0.2,1.6,0.5,0.9,6.48,232,,"Robert MührenAZ Alkmaar, 26, FW",12(5),960,2,0.7,12.1,72.7,0.1,0.2,-,6.48
Warner Hahn,PEC Zwolle,30,2700,0,0,1,0,0,62.6,0.1,2,7,30,0,0,0,0,0.6,0,0,0,7,93,,"Jaïro RiedewaldAjax, 18, D(CL)",10(9),946,-,-,0.1,0.3,0.5,0.4,-,0.5,0.7,6.71,181,,"Jaïro RiedewaldAjax, 18, D(CL)",10(9),946,-,0.3,36,89.9,-,1.4,-,6.71
Wesley Hoedt,AZ Alkmaar,24,2141,2,0,4,0,0.5,80.5,3.6,3,7.44,24,1.9,2.8,1.5,0.3,10,0.3,0.8,0,7.44,14,,"Doke SchmidtHeerenveen, 23, D(R)",8(14),910,-,-,0.2,-,0.2,0.6,-,0.1,0.3,6.58,205,,"Doke SchmidtHeerenveen, 23, D(R)",8(14),910,-,-,16.1,73.2,-,2.1,-,6.58
Willem Janssen,Utrecht,30,2538,3,0,8,1,1.1,80.1,2.8,0,6.84,30,2,1.8,1.5,0,2,0.8,0.3,0,6.84,144,,"Lars LambooijGo Ahead Eagles, 27, DM(C)",8(10),899,-,1,0.4,0.6,0.4,0.7,-,0.8,0.7,6.49,231,,"Lars LambooijGo Ahead Eagles, 27, DM(C)",8(10),899,1,0.6,20.8,81.6,0.3,1.1,-,6.49
William Troost-Ekong,FC Dordrecht,17(5),1570,0,0,2,0,0.1,80.8,2.3,0,6.72,17(5),1.6,2.1,0.7,1.1,7.4,0.5,0.8,0,6.72,177,,"Mitchell te VredeFeyenoord, 24, FW",7(13),808,7,-,2.6,0.4,0.1,0.5,0.6,1.1,1.1,6.57,213,,"Mitchell te VredeFeyenoord, 24, FW",7(13),808,-,0.4,10,64,-,0.1,-,6.57
Wout Brama,PEC Zwolle,15(5),1355,0,1,0,0,0.5,81.3,0.9,0,6.59,15(5),1.1,1.6,0.9,0.1,1.6,0.8,0.3,0,6.59,203,,"Viktor ElmAZ Alkmaar, 29, DM(C)",6(14),728,-,1,0.3,0.9,0.1,0.7,0.1,0.3,0.2,6.41,243,,"Viktor ElmAZ Alkmaar, 29, DM(C)",6(14),728,1,0.9,17.6,74.4,-,0.7,0.1,6.41
Wout Weghorst,Heracles,27(4),2431,8,5,6,0,1.5,67.5,3.2,1,6.96,27(4),1.1,0.6,1.9,0,0.6,0.7,0.2,0,6.96,109,,"Jerson CabralWillem II, 24, AM(LR)",8(9),721,2,-,1.1,0.3,0.9,0.6,-,1.3,1.1,6.48,233,,"Jerson CabralWillem II, 24, AM(LR)",8(9),721,-,0.3,11.1,75.5,0.3,0.4,-,6.48
Xander Houtkoop,ADO Den Haag,4(19),658,3,1,0,0,0.5,73.2,0.2,0,6.37,4(19),0.3,0.3,0.1,0,0.3,0.1,0,1,6.37,246,,"Jürgen LocadiaPSV Eindhoven, 21, FW",5(18),698,6,3,1,0.4,0.1,0.7,-,0.6,0.6,6.57,211,,"Jürgen LocadiaPSV Eindhoven, 21, FW",5(18),698,3,0.4,11.3,84.2,-,0.6,-,6.57
Xandro Schenk,Go Ahead Eagles,21(5),1972,0,0,2,0,0.2,80.4,1,1,6.68,21(5),2.5,1.1,1,0.2,4.6,0.9,0.3,0,6.68,188,,"Xander HoutkoopADO Den Haag, 26, AM(L)",4(19),658,3,1,0.5,0.6,0.2,0.3,-,0.4,0.6,6.37,246,,"Xander HoutkoopADO Den Haag, 26, AM(L)",4(19),658,1,0.6,7.3,73.2,0.9,0.2,-,6.37
Yassin Ayoub,Utrecht,31,2727,5,6,6,1,1.4,80.7,0.6,2,7.41,31,3.4,1.2,1.5,0,1.2,1.3,0.3,0,7.41,17,,"Torgeir BorvenTwente, 23, FW",4(18),565,1,-,0.7,0.2,0.1,0.3,-,0.4,0.6,6.24,251,,"Torgeir BorvenTwente, 23, FW",4(18),565,-,0.2,7,69.5,-,0.1,-,6.24
Yoëll van Nieff,Groningen,19(5),1791,1,0,2,0,0.3,75.6,0.9,0,6.86,19(5),2.7,1.8,0.9,0.1,3.5,1,0.1,0,6.86,137,,"Ridgeciano HapsAZ Alkmaar, 22, D(L)",2(16),501,-,-,0.3,0.3,0.2,0.9,0.2,0.4,0.6,6.31,249,,"Ridgeciano HapsAZ Alkmaar, 22, D(L)",2(16),501,-,0.3,10.9,66.5,0.1,0.8,-,6.31
Youness Mokhtar,Twente,24(8),2100,5,4,2,0,1.8,78.7,0.5,1,7.03,24(8),1.8,0.5,0.9,0,0.2,0.6,0.1,0,7.03,84,,"Kevin VermeulenExcelsior, 24, FW",2(22),398,2,-,0.4,0.2,0.2,0.2,-,0.5,0.5,6.18,253,,"Kevin VermeulenExcelsior, 24, FW",2(22),398,-,0.2,3.8,64.4,0.1,0.3,-,6.18
Zakaria Labyad,Vitesse,24(5),2089,8,4,4,0,3.4,78.9,0.3,2,7.19,24(5),1,0.4,1,0,0.2,0.5,0.1,0,7.19,48,,"Uros DjurdjevicVitesse, 21, FW",1(16),303,1,-,1.2,0.3,0.4,0.6,0.5,0.8,0.5,6.23,252,,"Uros DjurdjevicVitesse, 21, FW",1(16),303,-,0.3,3.9,69.7,0.2,-,-,6.23
